방송사,카테고리,내용요약
JTBC,정치,"윤석열 대통령의 탄핵 심판 선고가 임박하면서 헌법재판소와 광화문 광장에 긴장감이 고조되고 있습니다. 대통령의 파면 여부는 중대한 법 위반 여부에 따라 결정될 예정입니다. 김건희 여사에 대한 재수사 요구가 증가하고 있으며, 도이치모터스 주가 조작 사건과 관련하여 헌법재판소는 수사에 의문을 제기했습니다."
JTBC,사회,"광화문 광장에는 탄핵을 촉구하는 집회에 많은 시민들이 모였으며, 계엄 당시 언론 통제와 기자 폭력 사건이 문제가 되었습니다. 제주 4.3 사건의 77주년을 맞아 역사 왜곡 방지 노력이 이어지고 있습니다. 최상병 사망 사건과 관련하여 JTBC는 멋쟁해병 카톡 대화방과 녹취를 입수했습니다."
JTBC,국제,해당 뉴스 기사에는 국제적인 내용이 포함되어 있지 않습니다.
JTBC,경제,"도이치모터스 주가 조작 사건에 대해 대법원이 유죄를 확정했습니다. 이종호 씨는 3부 토건 주가 조작 의혹에도 연루되어 있으며, 금감원은 조 씨 일가가 시세 차익을 거둔 것으로 보고 있습니다. 헌법재판소 인근 상인들은 시위로 인한 피해를 우려하고 있습니다."
JTBC,기타,"헌법재판소의 방청석 경쟁률이 높았으며, 경찰은 서울에 을호 비상을 내려 비상 근무에 돌입했습니다. 개험 발동과 관련하여 윤 대통령이 국회의원 체포를 지시했다는 증언이 있었으며, 선관위 청사 등에 군인을 투입한 것이 위헌이라는 지적이 나왔습니다."
KBS,정치,"윤석열 대통령의 탄핵 심판 선고가 헌법재판소에서 예정되어 있으며, 국민의힘과 더불어민주당은 각각 탄핵 기각과 인용을 기대하며 집회와 시위를 이어가고 있습니다. 재보궐선거에서 야권이 약진하여 기초자치단체장 5개 중 4개를 차지했으며, 조국혁신당은 전남 담양에서 첫 지방자치단체장을 배출했습니다. 우원식 국회의장은 제주 4.3 희생자 추념식에 참석하여 실종자 확인, 유해 발굴, 재심 재판, 합당한 보상 등을 국회가 제주도와 함께 추진하겠다고 밝혔습니다. 군 내부망에 올라온 한미연합연습 자료가 중국인에게 유출된 사건이 발생했습니다."
KBS,사회,"헌법재판소 주변에서 탄핵 찬반 집회가 열리고 있으며, 경찰은 비상근무 체제를 발령하여 경비를 강화하고 있습니다. 강원도의 임차 헬기 수가 경기도의 절반 수준으로, 넓은 산림을 지키기에는 부족한 상황입니다. 임차 헬기 비용을 국비로 지원하도록 하는 법안이 발의되었습니다."
KBS,국제,"트럼프 미국 대통령의 상호 관세 발표가 국제 무역 질서에 영향을 미치고 있으며, 한국을 포함한 여러 나라에 관세가 부과되었습니다. 중국인 조직이 한미연합연습 관련 군사 기밀을 빼돌리려 한 정황이 포착되어, 중국인 1명과 현역 군인 1명이 군사기밀보호법 위반 혐의로 조사를 받고 있습니다."
KBS,경제,"미국의 상호 관세 부과로 인해 한국의 자동차, 철강, 반도체 등 주요 수출 품목에 경제적 영향이 예상됩니다. 도이치 모터스 주가 조작 사건 관련자들에게 유죄가 확정되었으며, 김건희 여사의 연루 의혹이 제기된 가운데 검찰이 재수사를 검토하고 있습니다. 한국은행은 기업들이 부동산 부문에 과도하게 집중하는 현상을 경고하며, 이는 기술 혁신 등 부가가치 창출을 위축시킬 수 있다고 우려하고 있습니다."
KBS,기타,"경북 지역에서 발생한 대형 산불로 인해 농가들이 큰 피해를 입었으며, 국가유산청은 손상된 문화유산 복구를 위해 노력하고 있습니다. 제77주년 제주 4.3 희생자 추념식이 제주 4.3 평화공원에서 열렸으며, 한덕수 대통령 권한대행이 희생자 추모와 유가족 위로의 메시지를 전했습니다."
